,room,event_day,event_hour,detec1,detec2,occupancy,building,estim_nb_ocpnts
76,3,3,13,12.0,12.0,0.0,school of computer science,0.0
77,3,3,14,31.363636363636363,31.272727272727273,0.5,school of computer science,45.0
78,3,3,15,21.272727272727273,21.272727272727273,0.25,school of computer science,22.5
79,3,3,16,9.583333333333334,9.583333333333334,0.0,school of computer science,0.0
80,3,4,9,2.090909090909091,2.090909090909091,0.0,school of computer science,0.0
81,3,4,10,14.166666666666666,14.0,0.25,school of computer science,22.5
82,3,4,11,17.727272727272727,17.636363636363637,0.0,school of computer science,0.0
83,3,4,12,79.9090909090909,79.45454545454545,0.75,school of computer science,67.5
84,3,4,13,89.5,89.41666666666667,0.75,school of computer science,67.5
85,3,4,14,22.75,22.666666666666668,0.0,school of computer science,0.0
86,3,4,15,13.636363636363637,13.545454545454545,0.0,school of computer science,0.0
87,3,4,16,7.454545454545454,7.454545454545454,0.0,school of computer science,0.0
88,3,5,9,15.666666666666666,15.5,0.0,school of computer science,0.0
89,3,5,10,31.90909090909091,31.818181818181817,0.25,school of computer science,22.5
90,3,5,11,19.4,19.2,0.25,school of computer science,22.5
91,3,5,12,46.416666666666664,46.333333333333336,0.5,school of computer science,45.0
92,3,5,13,30.333333333333332,30.0,0.25,school of computer science,22.5
93,3,5,14,17.454545454545453,17.272727272727273,0.25,school of computer science,22.5
94,3,5,15,8.166666666666666,8.083333333333334,0.0,school of computer science,0.0
95,3,5,16,9.25,9.25,0.0,school of computer science,0.0
96,3,6,9,25.666666666666668,25.583333333333332,0.25,school of computer science,22.5
97,3,6,10,46.0,46.0,0.75,school of computer science,67.5
98,3,6,11,25.083333333333332,25.083333333333332,0.25,school of computer science,22.5
99,3,6,12,24.75,24.5,0.25,school of computer science,22.5
100,3,6,13,17.5,17.4,0.0,school of computer science,0.0
101,3,6,14,51.916666666666664,51.666666666666664,0.75,school of computer science,67.5
102,3,6,15,47.333333333333336,47.0,0.75,school of computer science,67.5
103,3,6,16,14.583333333333334,14.583333333333334,0.5,school of computer science,45.0
104,3,9,9,28.0,27.90909090909091,0.5,school of computer science,45.0
105,3,9,10,36.0,36.0,0.25,school of computer science,22.5
